DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07
"Redmi 8A Dual (Sky White, 3GB RAM, 32GB)",4.1 out of 5 stars,35771,https://images-na.ssl-images-amazon.com/images/I/710p2f-zAdL._SX679_.jpg,https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B07X3P1N3H/ref=sr_1_23?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-23,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8299,8999,8999,8756,8299,8299,7999,7999,7999,7499,7999,7999,7499
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 128GB)",4.2 out of 5 stars,14888,https://images-na.ssl-images-amazon.com/images/I/71TwXw2LQRL._SX679_.jpg,https://www.amazon.in/Redmi-Prime-Sunrise-Storage-Display/dp/B086984LJ3/ref=sr_1_24?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-24,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi 4 (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,63106,https://images-na.ssl-images-amazon.com/images/I/61nzk9MGSlL._SY879_.jpg,https://www.amazon.in/Redmi-Black-3GB-32GB-Storage/dp/B01NAKU5HE/ref=sr_1_25?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-25,9499,8790,8790,8790,8790,9009,9009,9499,9499,9499,9499,9499,9499,9499,9490,9490,9499,9499,9490,9499,9499,9499,9499,9499,9499,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB)",4.1 out of 5 stars,30862,https://images-na.ssl-images-amazon.com/images/I/71XpBd7i1SL._SX679_.jpg,https://www.amazon.in/Test-Exclusive-602/dp/B07HGLC2CG/ref=sr_1_26?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-26,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499,17499
Redmi 9 Power (Mighty Black 4GB RAM 64GB),3.8 out of 5 stars,3855,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_29?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-29,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10499,10499,10499,10499,10499,10499,10499,10999,10999,10999,10999,10999,10499,10499
"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB)",3.8 out of 5 stars,3855,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1113-Multi-3GB-Storage/dp/B089MS8XQ3/ref=sr_1_30?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-30,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10499,10499,10499,10499,10499,10499,10499,10999,10999,10999,10999,10999,10499,10499
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB)",4.1 out of 5 stars,30862,https://images-na.ssl-images-amazon.com/images/I/71XpBd7i1SL._SX679_.jpg,https://www.amazon.in/Test-Exclusive-557/dp/B077PWJ8RS/ref=sr_1_32?dchild=1&keywords=Redmi+Mobiles&qid=1612346933&sr=8-32,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999
"Redmi Note 9 (Arctic White, 6GB RAM 128GB)",4.2 out of 5 stars,27537,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Arctic-White-Storage/dp/B08696W399/ref=sr_1_35?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-35,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,10999,10999,13999
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB)",4.2 out of 5 stars,34204,https://images-na.ssl-images-amazon.com/images/I/811axeBSeRL._SX679_.jpg,https://www.amazon.in/Test-Exclusive-551/dp/B0784D862L/ref=sr_1_36?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-36,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,11999,11999,11999,11999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999
"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB)",4.2 out of 5 stars,34204,https://images-na.ssl-images-amazon.com/images/I/811axeBSeRL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Champagne-Storage/dp/B08696XB45/ref=sr_1_37?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-37,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,11999,11999,11999,11999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999
"Redmi 9 Power (Electric Green, 4GB RAM, 64GB)",3.8 out of 5 stars,3855,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1111-Multi-3GB-Storage/dp/B089MS8HPF/ref=sr_1_38?dchild=1&keywords=Redmi+Mobiles&qid=1612346937&sr=8-38,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10499,10499,10499,10499,10499,10499,10499,10999,10999,10999,10999,10999,10499,10499
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB)",4.3 out of 5 stars,96053,https://images-na.ssl-images-amazon.com/images/I/51da%2B8RxEWL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Electric-Processor/dp/B07X4R4F47/ref=sr_1_51?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-51,16990,unavailable,15999,15999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,17980,17980,unavailable,unavailable,17999,17999,17990,17890,17390,17590,17590
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB)",4.2 out of 5 stars,27537,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Green-128GB-Storage/dp/B08696ZMPF/ref=sr_1_52?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-52,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999
"Redmi 9 Power (Mighty Black, 4GB RAM, 128GB)",3.8 out of 5 stars,3855,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1118-Multi-3GB-Storage/dp/B089MTT7TX/ref=sr_1_53?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-53,11999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,unavailable,unavailable,10999,unavailable,10999,unavailable,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999
"Redmi 6 (Black, 3GB RAM, 64GB)",4.1 out of 5 stars,11168,https://images-na.ssl-images-amazon.com/images/I/31M49AYSfVL.jpg,https://www.amazon.in/Redmi-Black-3GB-64GB-Storage/dp/B07R9RSB2T/ref=sr_1_54?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-54,9490,unavailable,unavailable,unavailable,9490,8499,8499,8499,unavailable,8890,8890,8890,unavailable,8500,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,8890,8890,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 9 Power (Electric Green, 4GB RAM, 128GB)",3.8 out of 5 stars,3855,https://images-na.ssl-images-amazon.com/images/I/71hEzQGO5qL._SX679_.jpg,https://www.amazon.in/Test-Exclusive_2020_1116-Multi-3GB-Storage/dp/B089MVCS5G/ref=sr_1_57?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-57,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,unavailable,10999,11999,10999,unavailable,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999
"Redmi Note 9 (Scarlet Red, 6GB RAM 128GB)",4.2 out of 5 stars,27537,https://images-na.ssl-images-amazon.com/images/I/716tvc8pVEL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Scarlet-128GB-Storage/dp/B08696LQL2/ref=sr_1_58?dchild=1&keywords=Redmi+Mobiles&qid=1612346943&sr=8-58,11999,unavailable,12999,12999,11999,11999,11999,11999,11999,11999,11999,11999,unavailable,11499,11499,11499,10999,10999,10999,10999,10999,unavailable,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi Note 9 Pro Max (Champagne Gold, 6GB RAM, 64GB)",4.1 out of 5 stars,30862,https://images-na.ssl-images-amazon.com/images/I/71XpBd7i1SL._SX679_.jpg,https://www.amazon.in/Redmi-Note-Pro-Max-64GB/dp/B086985WZY/ref=sr_1_65?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-65,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999
"Mi Redmi 6A (Black, 2GB RAM, 16GB)",4.2 out of 5 stars,20234,https://images-na.ssl-images-amazon.com/images/I/718oiyc2qlL._SY879_.jpg,https://www.amazon.in/Redmi-6A-Black-2GBRAM-Storage/dp/B077PW9V3J/ref=sr_1_67?almBrandId=ctnow&dchild=1&fpw=alm&keywords=Redmi+Mobiles&qid=1612346947&sr=8-67,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 9 Prime (Mint Green, 4GB RAM, 128GB)",4.2 out of 5 stars,14888,https://images-na.ssl-images-amazon.com/images/I/71TwXw2LQRL._SX679_.jpg,https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B086984LJ4/ref=sr_1_68?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-68,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999,10999
"Redmi Note 4 (Grey, 4GB RAM, 64GB)",4.2 out of 5 stars,4129,https://images-na.ssl-images-amazon.com/images/I/81SVaytdKUL._SY879_.jpg,https://www.amazon.in/Redmi-Note-Grey-64GB-Storage/dp/B078BN2H39/ref=sr_1_70?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-70,11010,11010,11010,11010,12990,12990,12990,15999,15999,15999,13000,13000,11599,13999,15999,11290,15999,15999,15999,15999,15999,15999,15999,11599,11599,11599,15999,15999,15999,15999
"Redmi 6 Pro (Blue, 4GB RAM, 64GB)",4.1 out of 5 stars,56702,https://images-na.ssl-images-amazon.com/images/I/71ha0V0c8kL._SY879_.jpg,https://www.amazon.in/Redmi-Pro-Blue-64GB-Storage/dp/B07DJHR5DY/ref=sr_1_72?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-72,12148,12148,12148,12148,12148,12148,12148,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,11399,11399,11399
"Redmi Y2 (Gold, 3GB RAM, 32GB)",4.3 out of 5 stars,2773,https://images-na.ssl-images-amazon.com/images/I/81MWLaSqduL._SY879_.jpg,https://www.amazon.in/Redmi-Y2-Gold-32GB-Storage/dp/B077PWB22Y/ref=sr_1_74?dchild=1&keywords=Redmi+Mobiles&qid=1612346947&sr=8-74,10499,10499,10499,10499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
"Redmi 6 (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,11168,https://images-na.ssl-images-amazon.com/images/I/31M49AYSfVL.jpg,https://www.amazon.in/Mi-Redmi-Black-32GB-Storage/dp/B07K16XLG7/ref=sr_1_99?dchild=1&keywords=Redmi+Mobiles&qid=1612346953&sr=8-99,9490,unavailable,unavailable,unavailable,8499,8499,8499,8499,unavailable,8890,8890,8890,unavailable,8500,unavailable,unavailable,unavailable,unavailable,8299,8299,unavailable,8890,8890,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
