DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB)",4.3 out of 5 stars,42701,https://images-na.ssl-images-amazon.com/images/I/71BFG8Zu7zL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_22?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-22,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB)",4.4 out of 5 stars,31750,https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_23?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-23,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB)",4.2 out of 5 stars,132946,https://images-na.ssl-images-amazon.com/images/I/71OxJeyywSL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGJ7WLM/ref=sr_1_24?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-24,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M01 Core (Red, 1GB RAM, 16GB)",3.4 out of 5 stars,9406,https://images-na.ssl-images-amazon.com/images/I/71UZfRHB7UL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MSCW8V/ref=sr_1_25?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-25,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999
"Samsung Galaxy A21s (Black, 4GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCBK16/ref=sr_1_26?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-26,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999
"Samsung Galaxy A21s (Blue, 4GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KC85W8/ref=sr_1_27?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-27,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB)",4.4 out of 5 stars,31750,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1CPCW/ref=sr_1_28?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-28,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy A31 (Prism Crush Black, 6GB RAM, 128GB)",4.0 out of 5 stars,1059,https://images-na.ssl-images-amazon.com/images/I/81erkgYf1tL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KFXPFD/ref=sr_1_30?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-30,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,17999,unavailable,unavailable,17999,17999,17999,17999,17999
"Samsung Galaxy M21 (Iceberg Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,90071,https://images-na.ssl-images-amazon.com/images/I/71vvUDCY4PL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Iceberg-Blue-Storage/dp/B085J1JRC7/ref=sr_1_31?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-31,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,13999,13999
"Samsung Galaxy A21s (White, 4GB RAM, 64GB)",3.6 out of 5 stars,1356,https://images-na.ssl-images-amazon.com/images/I/81-5NsP8laL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KD6WBF/ref=sr_1_32?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-32,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,13999,13999,13999,13999,13999
