DESCRIPTION,RATING,REVIEWS COUNT,IMAGE,LINK,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71zb0UaK0PL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A066826523L6L4UWOF2H6&url=%2FSamsung-Galaxy-Prime-Space-Storage%2Fdp%2FB085J1D8BH%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-1-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,16499,15999,unavailable,unavailable,unavailable,15999,15999,16499,16499,16499,unavailable,unavailable,15999,unavailable,15999,16499,16499,16499,16499,16499,15999,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,15999,15999,15999,16499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346885%26sr%3D8-2-spons%26psc%3D1&qualifier=1612346885&id=8455987155997923&widgetName=sp_atf,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB)",4.2 out of 5 stars,124552,https://images-na.ssl-images-amazon.com/images/I/71dujTTJDZL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_3?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-3,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,15999,15999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71-Su4Wr0HL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_4?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-4,16499,unavailable,unavailable,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB)",4.1 out of 5 stars,17636,https://images-na.ssl-images-amazon.com/images/I/81onqHVeECL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_5?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-5,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7775,7499,8050,8050,7499,7499,8990,8290,8145,8145,8990,8490,8490,8225,8225,7499,7499,7499,7999,7499,7499,7698,7990,7698,7698,7698,7698,7698,7698,8099,8099,8180,8172,8290,8099,7999,7999,7499,7988,7988,7987,7987,7985,7975,7974,7974,8499,8499,8199,8199,8189,8150,8149,8125,8074,8074,8000,7989,7989,7975,7975,7900,7875,7875,7798
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71AYb2AGHXL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_6?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-6,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71zb0UaK0PL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Prime-Space-Storage/dp/B085J1D8BH/ref=sr_1_7?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-7,16499,15999,unavailable,unavailable,unavailable,15999,15999,16499,16499,16499,unavailable,unavailable,15999,unavailable,15999,15999,16499,16499,15999,16499,15999,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,16499,16499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,15999,15999,15999,16499,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB)",4.1 out of 5 stars,17636,https://images-na.ssl-images-amazon.com/images/I/81o1rDu5FZL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCDGTQ/ref=sr_1_8?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-8,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7499,7999,8499,7499,unavailable,7499,7499,7499,7499,7715,7999,7499,7950,7950,8425,8425,7499,8750,8990,8490,8490,8425,8425,8179,8120,8019,8019,7499,7499,7999,8370,7999,7999,7900,7900,7900,7900,7950,7950,7950,7499,7999,7990,7999,7996.5,8487.5,8188,7988,7988,7985,7987,7975,7984,7984,8499,unavailable,8199,8199,8189,8150,8149,8125,8074,8074,8000,7990,7999,7975,7975,7900,7875,7875,7798
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB)",4.2 out of 5 stars,124552,https://images-na.ssl-images-amazon.com/images/I/71QLvGIAq5L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_9?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-9,13999,13999,13999,13999,13999,13999,13999,13999,13999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,12999,13999,13999,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,15999,15999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB)",4.3 out of 5 stars,61589,https://images-na.ssl-images-amazon.com/images/I/61d-phh4GfL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBB3/ref=sr_1_10?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-10,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499
"Samsung Galaxy M31s (Mirage Blue, 8GB RAM, 128GB)",4.3 out of 5 stars,61589,https://images-na.ssl-images-amazon.com/images/I/61d-phh4GfL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-128GB-Storage/dp/B07DJCJBBN/ref=sr_1_11?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-11,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB)",4.2 out of 5 stars,124552,https://images-na.ssl-images-amazon.com/images/I/71dujTTJDZL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Midnight-128GB-Storage/dp/B07HGH88GL/ref=sr_1_12?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-12,15999,15999,15999,15999,15999,15999,15999,15999,15999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,unavailable,unavailable,14999,14999,14999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,13999,15999,15999,15999,15999,15999,15999,13999,13999,13999,unavailable,15999,15999,15999,15999,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71OxJeyywSL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_13?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-13,16499,unavailable,unavailable,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,unavailable,unavailable,16499,unavailable,unavailable,unavailable,unavailable,16499,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,16499,16499,16499,16499,16499,16499,16499,unavailable,unavailable,unavailable,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499,16499
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/713AhSUtbHL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_14?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-14,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71ahT-X2FgL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MV96RW/ref=sr_1_15?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-15,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,6499,6499,5199,5199,5199,5199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6199,6204,6204,6180,6010,6010,6199,6100,6080,6080,6080,6082,6199,6199,6199,6199,6199,6199,6199,6199,6199,6190,6199,6190,6190,6199,6190,6199,7490,6199,7490,7490,7490,7490,7490,7490,7489
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71AYb2AGHXL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MTL51J/ref=sr_1_16?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-16,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5465,5500,5199,5199,5499,5199,5499,unavailable,5499,5499,5500,5500,5999,5199,5199,5199,5199,5999
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71OxJeyywSL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Ocean-Blue-Storage/dp/B07HGJKDQL/ref=sr_1_17?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-17,15999,15999,unavailable,unavailable,unavailable,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M01 Core (Red, 2GB RAM, 32GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71UZfRHB7UL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ6XLH/ref=sr_1_18?dchild=1&keywords=Samsung+Mobiles&qid=1612346885&sr=8-18,6900,6490,5999,5999,5999,6399,6399,5999,5999,5999,6490,6490,6390,6375,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,5999,6398,6390,6390,6490,6490,5199,5199,5199,6199,5199,5199,5199,6690,6687,6687,6199,6199,6199,6199,6679,6679,6679,6999,6999,6999,6600,6999,6999,6999,6999,6999,5199,6999,6999,6999,6999,5199,6999,6900,5199,7199,7199,7199,7198,7198,7198,7198,5500,5500,5999,5199,5199,5199,5199,7499
"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0018770FW4TQ1G9RZHI&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1868F%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DSamsung%2BMobiles%26qid%3D1612346890%26sr%3D8-17-spons%26psc%3D1&qualifier=1612346890&id=1608339889580752&widgetName=sp_atf_next,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB)",4.2 out of 5 stars,124552,https://images-na.ssl-images-amazon.com/images/I/71QLvGIAq5L._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8ML7/ref=sr_1_18?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-18,15999,15999,15999,15999,15999,15999,15999,15999,15999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,14999,15999,15999,14999,14999,14999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,13999,15999,15999,15999,15999,15999,15999,13999,13999,13999,unavailable,15999,15999,15999,15999,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499,12499
"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1868F/ref=sr_1_19?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-19,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999,24999
"Samsung Galaxy M01 Core (Blue, 1GB RAM, 16GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71ahT-X2FgL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MS3GLM/ref=sr_1_20?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-20,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5388,5199,5499,5388,5380,5199,5349,5500,5890,5199,5890,5890,5890,5199,5199,5890
"Samsung Galaxy M31s (Mirage Black, 8GB RAM, 128GB)",4.3 out of 5 stars,61589,https://images-na.ssl-images-amazon.com/images/I/71BFG8Zu7zL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJLVHYC/ref=sr_1_21?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-21,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,19499,20499,20499,19499,19499,18499,18499,18499,20499,20499,20499,20499,20499,20499,unavailable,unavailable,unavailable,20499,20499,18499,18499,18499,18499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499,20499
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB)",4.3 out of 5 stars,61589,https://images-na.ssl-images-amazon.com/images/I/71BFG8Zu7zL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_22?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-22,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,19499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499,18499
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB)",4.4 out of 5 stars,50394,https://images-na.ssl-images-amazon.com/images/I/710weRkP-nL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_23?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-23,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999,22999
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB)",4.3 out of 5 stars,174392,https://images-na.ssl-images-amazon.com/images/I/71OxJeyywSL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGJ7WLM/ref=sr_1_24?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-24,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999,15999
"Samsung Galaxy M01 Core (Red, 1GB RAM, 16GB)",3.6 out of 5 stars,17253,https://images-na.ssl-images-amazon.com/images/I/71UZfRHB7UL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MSCW8V/ref=sr_1_25?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-25,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5199,5499,5499,5499,5499,5497,5498,5498,5199,5999,5999,5999,5199,5199,5199
"Samsung Galaxy A21s (Black, 4GB RAM, 64GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/81zb1bxd6NL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCBK16/ref=sr_1_26?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-26,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,17499,13999,13999,13999,13999,13999,17499,17499,17499,17499,17499,13999,13999,13999,13999,13999,13999,13999,13999
"Samsung Galaxy A21s (Blue, 4GB RAM, 64GB)",3.9 out of 5 stars,2327,https://images-na.ssl-images-amazon.com/images/I/811RH5e-snL._SY879_.jpg,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KC85W8/ref=sr_1_27?dchild=1&keywords=Samsung+Mobiles&qid=1612346890&sr=8-27,14999,14999,14999,14999,14999,14999,14999,13999,13999,13999,13999,13999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,12999,12999,12999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,13999,14999,13999,14999,12999,14999,14999,15449,15429,13999,13999,13999,15488,15488,15488,15468,15468,13999,13999,15478,13999,15380,13999,13999,13999,13999
